iter	F1	Logloss
138	0.799078038	0.4130973512
139	0.7989744417	0.4130424051
140	0.7990645637	0.4129712341
141	0.7989999907	0.4129071676
142	0.7990831165	0.4127824502
143	0.7989865153	0.4127131237
144	0.7991923121	0.4125818796
145	0.79912634	0.412526065
146	0.7991653649	0.4124347883
147	0.7991774418	0.4123451259
148	0.7992754647	0.4122740086
149	0.7992889387	0.412246033
150	0.7994343526	0.4121712795
151	0.7994989284	0.4120373449
152	0.7995997544	0.4119618502
153	0.7996118387	0.4119070595
154	0.7996322334	0.4118195256
155	0.7996066827	0.411757947
156	0.7996940365	0.4116657808
157	0.7998286994	0.4115890115
158	0.7999094827	0.4114702187
159	0.7999298294	0.4114132189
160	0.7997751819	0.4113734594
161	0.7998773617	0.4112811507
162	0.7999743366	0.4111905454
163	0.800056457	0.4111341249
164	0.8000108734	0.4110481289
165	0.8000847418	0.410973033
166	0.8002261246	0.410840775
167	0.8003202728	0.4107785016
168	0.8003202728	0.4106925111
169	0.800367244	0.4105993578
170	0.8003268947	0.4105232033
171	0.8005514268	0.4104430259
172	0.8005944806	0.4103841715
173	0.8006186541	0.4103503139
174	0.8005017221	0.4102621707
175	0.800509885	0.4101735439
176	0.8006160707	0.4101071116
177	0.8006240839	0.4100588719
178	0.8005112453	0.4099973372
179	0.8005515751	0.4099341644
180	0.8005086837	0.4098412274
181	0.8005166855	0.4097389944
182	0.8005825349	0.4096576074
183	0.8006403666	0.4095467554
184	0.8007075568	0.4094841496
185	0.8006847474	0.4094180388
186	0.8007626567	0.4093274056
187	0.8007854702	0.4092551786
188	0.8008727656	0.4091840827
189	0.8009211662	0.4090946027
190	0.8009426384	0.4090480741
191	0.8010756158	0.4089671483
192	0.8010944236	0.4088409065
193	0.8011454531	0.4087646744
194	0.8012636214	0.408699991
195	0.8013361516	0.4086574313
196	0.8013764321	0.4086026432
197	0.8014059559	0.4085415037
198	0.8014072917	0.4084911854
199	0.8014314703	0.4084292818
200	0.8014583192	0.4083626721
201	0.8014838333	0.4083132791
202	0.8016354674	0.4082705974
203	0.8016072975	0.4082144903
204	0.8016301489	0.4081671556
205	0.8016220477	0.4081084223
206	0.8016743963	0.4080338578
207	0.8016233775	0.4079898929
208	0.801612737	0.407871846
209	0.8016985781	0.4078063975
210	0.8016569903	0.4077517925
211	0.8016409108	0.4076988073
212	0.8017348536	0.4076409488
213	0.8017992962	0.407564211
214	0.8018355777	0.4075255912
215	0.8018248081	0.4074475334
216	0.8018274572	0.4074020511
217	0.8018569391	0.4073666274
